Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,5.572001929355964,2,0.0,41.9136
2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,6.597063843147503,3,0.0,219.582
2016-06-12,2016-06-16,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,2.7485521444115397,2,0.0,6.8714
2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,6.86545041472046,5,0.45,-383.031
2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,3.15136756508544,2,0.2,2.5164
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,3.9092190780954117,7,0.0,14.1694
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,2.1138429683971682,4,0.0,1.9656
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,6.8114117654723865,6,0.2,90.7152
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,2.970619572738916,3,0.2,5.7825
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,4.752727750345706,5,0.0,34.47
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,7.442600508432343,9,0.2,85.3092
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,6.816104794316803,4,0.2,68.3568
2017-04-15,2017-04-20,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,2.8065069404432417,3,0.2,5.4432
2016-12-05,2016-12-10,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,6.0136564746144785,3,0.2,132.5922
2015-11-22,2015-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,4.24577726598231,5,0.8,-123.858
2015-11-22,2015-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,1.2652560327428346,3,0.8,-3.816
2014-11-11,2014-11-18,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,6.502610119684893,6,0.0,13.3176
2014-05-13,2014-05-15,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,4.034240638152395,2,0.0,9.99
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,2.25758772706331,2,0.0,2.4824
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,5.3682164939277035,3,0.2,16.011
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,3.1663185741295248,4,0.2,7.384
2016-12-09,2016-12-13,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,3.0184717605234805,7,0.0,5.0596
2016-12-09,2016-12-13,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,4.116432158686106,7,0.0,15.6884
2017-07-16,2017-07-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,4.28181948425685,2,0.3,-1.0196
2015-09-25,2015-09-30,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,6.952374853558705,3,0.0,240.2649
2016-01-16,2016-01-20,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,2.537499099907171,2,0.2,4.2224
2016-01-16,2016-01-20,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,4.517103707119641,3,0.0,11.7741
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,8.034122154276439,7,0.5,-1665.0522
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,2.3625506741614797,2,0.7,-7.0532
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,4.829912458665998,3,0.2,15.525
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,1.4502076868635434,2,0.2,1.1016
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,4.4693962808107885,6,0.2,9.7092
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,2.061532121136268,6,0.7,-5.715
2015-09-17,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,2.818995095053937,2,0.2,3.546
2017-10-19,2017-10-23,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,3.416808229176303,3,0.2,9.9468
2016-12-08,2016-12-10,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,7.001740945642436,7,0.2,123.4737
2016-12-08,2016-12-10,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,5.257078618531439,5,0.6,-147.963
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,4.739071510179493,9,0.2,35.415
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,6.279270111934266,3,0.32,-46.9764
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,5.361564429111865,3,0.3,-15.147
2015-12-27,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,5.919345365229957,4,0.2,41.7564
2017-09-10,2017-09-15,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,4.998346765120501,4,0.2,16.5564
2016-07-17,2016-07-22,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,4.36792771029438,2,0.0,3.894
2017-09-19,2017-09-23,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,4.570744358973074,2,0.2,9.5616
2016-03-11,2016-03-13,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,3.8497219792307664,2,0.0,19.7714
2016-03-11,2016-03-13,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,2.9156062290747062,2,0.0,8.2062
2014-10-20,2014-10-25,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,5.361104354646802,4,0.0,8.4784
2016-06-20,2016-06-25,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,3.828641396489095,3,0.0,4.95
2016-06-20,2016-06-25,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,3.126760535960395,2,0.0,6.104
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,3.6691868207682004,6,0.0,17.9634
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,4.333098961050458,6,0.0,35.3346
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,1.9685099809725544,2,0.0,2.9568
